Index,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Gladstone,AU,76.78,-23.85,151.25,Highpoint International
1,Kapaa,US,82.38,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Ambulu,ID,78.03,-8.345,113.6058,Hotel Ambulu Jember
6,Vaini,TO,80.76,-21.2,-175.2,Keleti Beach Resort
8,Tondano,ID,80.69,1.3038,124.9112,Villa Bella
11,Takoradi,GH,77.2,4.8845,-1.7554,Raybow International Hotel
18,Cabo San Lucas,MX,80.62,22.8909,-109.9124,Hotel Tesoro Los Cabos
25,Hithadhoo,MV,83.12,-0.6,73.0833,Scoop Guest House
33,Atuona,PF,78.08,-9.8,-139.0333,Villa Enata
39,Alofi,NU,82.29,-19.0595,-169.9187,Taloa Heights
42,Hilo,US,82.13,19.7297,-155.09,Hilo Hawaiian Hotel
43,Faanui,PF,80.2,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
47,Eydhafushi,MV,80.8,5.1033,73.0708,Soneva Fushi
49,Butaritari,KI,82.65,3.0707,172.7902,Isles Sunset Lodge
53,Bandrele,YT,78.55,-12.9067,45.1914,Les Baobabs
56,Praia,CV,79.34,14.9215,-23.5087,LT Aparthotel
57,Kahului,US,83.46,20.8947,-156.47,Maui Seaside Hotel
62,Lemon Tree Passage,AU,77.11,-32.7327,152.036,Koala Shores Port Stephens Holiday Park
65,Ishigaki,JP,75.33,24.3448,124.1572,Hotel Peace Land Ishigakijima
67,Touros,BR,79.7,-5.1989,-35.4608,INN NEW HORIZON
72,Cayenne,GF,82.09,4.9333,-52.3333,Hôtel Le Dronmi
74,Ranong,TH,78.73,9.9658,98.6348,Tinidee Hotel@Ranong
80,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
81,San Patricio,US,76.84,28.017,-97.5169,"Motel 6 Sinton, TX"
88,Suba,PH,83.32,10.8438,121.0102,Jarnchi Pension House
90,Lorengau,PG,86.5,-2.0226,147.2712,Lorengau Harbourside Hotel
94,Makakilo City,US,80.92,21.3469,-158.0858,Marriott's Ko Olina Beach Club
95,Arlit,NE,77.68,18.7369,7.3853,Case de Passage De la Prefecture
100,Ahuimanu,US,82.11,21.4447,-157.8378,Paradise Bay Resort
102,Port Blair,IN,83.32,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
112,Ko Samui,TH,82.31,9.5357,99.9357,The Passage
115,Meulaboh,ID,81.68,4.1363,96.1285,Kost Pria
119,Bengkulu,ID,79.0,-3.8004,102.2655,Grage Hotel Bengkulu
120,Morant Bay,JM,82.02,17.8815,-76.4093,Whispering Bamboo Cove Resort
121,Bacungan,PH,86.65,9.9106,118.7022,Sumayang Property
129,Manado,ID,88.57,1.487,124.8455,Aryaduta Hotel
136,Oro Valley,US,77.18,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
140,Cockburn Town,TC,81.36,21.4612,-71.1419,Osprey Beach Hotel
159,Maceio,BR,78.24,-9.6658,-35.7353,Poutur Pousada
167,Progreso,MX,76.86,21.2833,-89.6667,Playa Linda Hotel
174,Deniliquin,AU,84.99,-35.5333,144.9667,Riviana Motel
183,Natal,BR,80.82,-5.795,-35.2094,Villa Park Hotel | Natal
186,Tual,ID,83.48,-5.6667,132.75,Grand Vilia Hotel
193,Yeppoon,AU,78.58,-23.1333,150.7333,Villa Mar Colina
194,Codrington,AU,76.91,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
203,Palu,ID,89.65,-0.8917,119.8707,Hotel Santika Palu
204,Karaton,ID,82.56,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
209,Terenos,BR,78.51,-20.4422,-54.8603,Rancho Pitzer
213,Trairi,BR,79.86,-3.2778,-39.2689,janelas do mar
214,Sao Filipe,CV,79.45,14.8961,-24.4956,Hotel Xaguate
216,Bilma,NE,76.15,18.6853,12.9164,Expeditions Ténére voyages
220,Victoria,HK,78.76,22.2855,114.1577,Mini Hotel Central
230,Kavaratti,IN,81.41,10.5669,72.642,Hotels in Lakshadweep Islands
235,Nsanje,MW,76.12,-16.92,35.262,Nsanje Discovery Lodge
236,Sabang,ID,81.21,5.8933,95.3214,Hotel Citra
237,Kirakira,SB,84.63,-10.4544,161.9205,SanBiz Lodge
241,Nago,JP,77.16,26.5881,127.9761,Hotel Yugaf Inn Okinawa
246,Pandan,PH,84.36,14.0453,124.1694,Bonifacio Lodge
251,Labuhan,ID,86.16,-6.8844,112.2051,PT PPI Lamongan Tambak C
257,Banjar,ID,84.06,-8.19,114.9675,The Hamsa Resort
259,Atambua,ID,87.3,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
262,Nuevitas,CU,76.44,21.5453,-77.2644,Hotel Caonaba
265,The Valley,AI,82.26,18.217,-63.0578,CeBlue Villas & Beach Resort
266,Maumere,ID,86.68,-8.6199,122.2111,Sylvia Hotel
268,Mount Gambier,AU,78.71,-37.8333,140.7667,The Commodore
282,Tarakan,ID,81.9,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
285,Alice Springs,AU,76.55,-23.7,133.8833,Desert Palms Alice Springs
295,Auki,SB,83.26,-8.7676,160.7034,Auki Motel
296,Belmonte,BR,79.3,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
301,Santo Antonio Do Ica,BR,75.99,-3.1022,-67.9397,HOTEL AMAZON WAY
311,Puli,TW,81.21,23.9664,120.9695,小島好樂
319,Port Moresby,PG,89.02,-9.4431,147.1797,Lamana Hotel (Port Moresby)
321,Mareeba,AU,82.33,-17.0,145.4333,Trinity Plains Tourist Park
323,Davila,PH,87.78,18.4726,120.5763,Blue Ridge Beach Resort
324,Ternate,ID,84.78,0.8,127.4,Sahid Bela Ternate Hotel
336,Lubao,PH,84.22,14.9167,120.55,Hacienda Gracia
345,Batemans Bay,AU,78.19,-35.7167,150.1833,Batemans Bay Marina Resort
347,Kimbe,PG,88.65,-5.5502,150.1429,Kimbe Bay Hotel
350,Dingle,PH,82.83,10.9995,122.6711,SEGAYA PROPERTY
359,Georgetown,MY,80.89,5.4112,100.3354,Cititel Penang
361,Kudahuvadhoo,MV,82.67,2.6708,72.8944,Niyama Private Islands Maldives
363,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
370,Port Lincoln,AU,79.25,-34.7333,135.8667,Port Lincoln Hotel
372,Mayumba,GA,75.63,-3.432,10.6554,LIKWALE LODGE
375,Kailua,US,82.38,21.4022,-157.7394,Sheffield House Bed & Breakfast
384,Wanning,CN,79.36,18.8003,110.3967,Paradise Hotel
396,Dawei,MM,81.37,14.0833,98.2,Hotel Dawei
397,Bandarbeyla,SO,76.3,9.4942,50.8122,JABIR HOTEL
398,Riohacha,CO,77.41,11.5444,-72.9072,Hotel Taroa
400,Paulo Ramos,BR,75.45,-4.2167,-45.1833,Hotel milena
402,Victor Harbor,AU,89.69,-35.5667,138.6167,McCracken Country Club
406,Port-Gentil,GA,76.37,-0.7193,8.7815,Fengshui Residence
415,Sulangan,PH,82.04,11.1373,123.7228,Maia's Beach Resort
417,Tabanan,ID,82.8,-8.5413,115.1252,Hotel VISTA Tabanan
429,Kavieng,PG,84.56,-2.5744,150.7967,Nusa Island Retreat
430,Bonthe,SL,77.5,7.5264,-12.505,Bonthe Holiday Village
441,Airai,TL,77.79,-8.9266,125.4092,Juvinal Martin
443,Banda Aceh,ID,81.82,5.5577,95.3222,Sulthan Hotel International
448,Waingapu,ID,87.42,-9.6567,120.2641,Pondok Wisata Elim
458,Fare,PF,79.84,-16.7,-151.0167,Maitai Lapita Village Huahine
464,Bull Savanna,JM,76.17,17.8868,-77.5902,Big Red's
465,Catuday,PH,82.18,16.2923,119.8062,Benjie's Kubo & Cottages
474,Roebourne,AU,80.13,-20.7833,117.1333,Latitude20 Roebourne Village
479,Camocim,BR,79.32,-2.9022,-40.8411,Ilha Praia Hotel
487,Bucerias,MX,77.18,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
498,Flinders,AU,77.2,-34.5833,150.8552,Shellharbour Resort & Conference Centre
508,Bombay,IN,82.38,19.0144,72.8479,Hotel Avon Ruby-Dadar
512,Neiafu,TO,79.03,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
513,Sola,VU,80.49,-13.8833,167.55,Leumerus Bungalows
514,Lucea,JM,78.66,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
516,Baracoa,CU,77.31,20.3467,-74.4958,Hostal Rio Miel
523,Broken Hill,AU,83.91,-31.95,141.4333,Royal Exchange Hotel
525,Mandera,KE,78.4,3.9366,41.867,Kornesh Hotel and Lodging
532,Douentza,ML,84.33,14.9951,-2.9517,Ogomono Doumbo
545,Axim,GH,77.54,4.8699,-2.2405,Axim Beach Resort And Spa
550,Moindou,NC,75.15,-21.6924,165.677,Gite de la RYAWA
551,Isla Mujeres,MX,79.59,21.2311,-86.731,Hotel La Joya Isla Mujeres
556,Bairiki,KI,87.8,1.3292,172.9752,Tarawa Boutique Hotel
563,Mahajanga,MG,78.82,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
567,Pangkalanbuun,ID,83.07,-2.6833,111.6167,Grand Kecubung Hotel
570,Marsassoum,SN,75.04,12.8275,-15.9806,Djinoubor keur Samba ba
586,Caucaia,BR,82.35,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
589,Tautira,PF,84.0,-17.7333,-149.15,Pension Oaoa
592,Batticaloa,LK,79.88,7.7102,81.6924,Grand Star Guest House
594,Ilheus,BR,80.42,-14.7889,-39.0494,Barravento Hotel
598,Indiaroba,BR,76.26,-11.5192,-37.5117,Pura Vida Bahia
604,Basco,PH,80.67,20.4487,121.9702,Nathaniel's Lodge
607,Tanete,ID,87.13,-3.9443,119.7848,Wisma Tri Multi
608,Acapulco,MX,80.42,16.8634,-99.8901,HS Hotsson Smart Acapulco
609,Champerico,GT,83.35,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
613,Qui Nhon,VN,78.69,13.7667,109.2333,Hoang Yen Canary Hotel
620,Doha,QA,78.78,25.2867,51.5333,Movenpick Hotel Doha
621,Grand-Lahou,CI,76.62,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
624,Makaha,US,82.31,21.4694,-158.2175,Hawaiian Princess Resort
630,Saint-Georges,GD,80.28,12.0564,-61.7485,Radisson Grenada Beach Resort
634,Bom Jesus,BR,79.43,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
635,Soyo,AO,76.24,-6.1349,12.3689,Hotel Mpampa
639,Isangel,VU,76.23,-19.55,169.2667,Tanna Lodge
640,Lazaro Cardenas,MX,78.98,17.9583,-102.2,quinta antigua
642,Pringsewu,ID,82.87,-5.3582,104.9744,Urban Style by Front One
646,Bac Lieu,VN,84.43,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
648,Mangaluru,IN,76.06,12.8667,74.8833,Goldfinch Hotel Mangaluru
652,Galle,LK,80.01,6.0367,80.217,Amangalla
660,Pochutla,MX,83.25,15.7432,-96.4661,Hotel Posada San Jose
662,Manggar,ID,81.68,-2.8833,108.2667,Guest Hotel
663,Port Hedland,AU,82.45,-20.3167,118.5667,The Esplanade Hotel
670,Petatlan,MX,84.0,17.5167,-101.2667,Hotel California Petatlán
676,Claveria,PH,82.45,18.6074,121.0832,Casa Grand Inn By The Sea
680,Cam Ranh,VN,84.16,11.9214,109.1591,OYO 598 Peony Hotel
684,Puerto Cabezas,NI,77.27,14.0351,-83.3888,Cabaña Caribe
686,Pemangkat,ID,83.07,1.1667,108.9667,Ramah Kost KITA
690,Hervey Bay,AU,78.91,-25.2986,152.8535,Shelly Bay Resort
691,Atar,MR,80.62,20.5169,-13.0499,Oumou Elghoura
693,Cozumel,MX,81.0,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
698,Jiwani,PK,79.45,25.05,61.7417,Al Mumtaz Transport Jiwani
701,Miri,MY,84.34,4.4148,114.0089,"Mega Hotel, Miri"
